English,Russian
pretence,притворство
levi,леви
serbian,сербский
malta,Мальта
impractical,непрактично
tremor,тремор
countryÂs,Страна
rationalization,рационализация
salesperson,продавец
microprocessor,микропроцессор
cross-cultural,кросс-культурный
dehydration,дегидратация
sixteenth,шестнадцатый
cashier,касса
rediscover,повторно открыть
berg,борз
martian,Мартиан
half-life,период полураспада
devour,пожрать
kiosk,киоск
knox,нокс
hamburg,гамбург
expedient,целесообразно
buildup,построить
claude,Клод
redwood,редвар
syrup,сироп
gallup,галлуп
campaigner,агитатор
crook,мошенничество
anime,аниме
savannah,саванна
nicotine,никотин
ive,у меня есть
condensed,конденсированный
rubric,рубрика
andreas,андреас
bitterness,горечь
norwich,норвич
registrant,Регистрация
upbeat,подниматься
surfer,серфер
enthusiastically,с энтузиазмом
karate,каратэ
ser,сердца
addendum,приложение
obscenity,непристойность
houghton,ходоть
finale,финал
stint,сюжета
mule,мул
burlington,Берлингтон
won’t,не
add-on,добавить
effluent,сточные силы
apprehend,присматривать
monte,монте
ancestral,предвкушение
conciliation,примирение
communists,коммунисты
colombian,колумбийский
regent,регент
rehab,реабилитация
thriving,процветать
swirl,Водоворот
oo,ов
doughnut,пончик
appendice,приложение
blush,краснеть
crimes,преступления
eia,ОВОС
famously,выгоднее
polygon,полигон
shutdown,неисправность
parable,притча
ingenuity,изобретательность
bangalore,бабалор
reload,перезагрузка
cabbage,капуста
gunman,боевик
abuser,обидчик
coward,трусливый
brainstorming,мозговой штурм
scalable,масштабируемый
turbulent,турбулентный
veneer,фанат
dissipate,рассеивать
cory,координат
grill,гриль
everlasting,вечный
numeral,цифра
slum,трущобы
user-friendly,удобный
sh,штерива
stallion,жеребец
styles,стили
fragmented,фрагментированный
housewife,домохозяйка
sci-fi,научный
role-playing,ролевая игра
ultraviolet,ультрафиолето
augusta,Августа
born,Родился
hindsight,задний
agility,ловкость
mural,роспись
mir,мир
casino,казино
uni,унция
groundbreaking,новатор
spearhead,копье
bisexual,бисексуал
rumble,грохота
mj,мэй
loyalist,лоялист
brennan,Бреннан
ceremonial,церемониал
held,держал
lowe,лоу
ors,или
seaman,моряк
mohawk,мохов
repentance,покаяние
liberties,свободы
skilful,умелый
bigotry,фанатизм
jubilee,юбилейный
infiltrate,инфильтрат
supremacy,превосходство
caste,каста
earner,тренировка
uniqueness,уникальность
bones,кости
appall,апутация
switching,переключение
institutions,учреждения
islander,островник
illegitimate,незаконный
misplace,несоответствие
balancing,балансировка
exponent,экспонент
ramsey,ранси
nexus,несущий
changed,измененный
connotation,коннотация
repercussion,реперкусс
intertwine,переплетать
anterior,спереди
titanic,Титаник
streamlined,оптимизирован
expansive,расширяться
dis,рассуждать
